method,n,coverage_mean,coverage_se,nmse_mean,nmse_se,scaled_remainder_mean,scaled_remainder_se
ema_05,34618,0.6559999999999999,0.024754144638174772,7.84918251680496,1.2758945262208692,9.36338548855257,0.6451303073104192
ema_05,37404,0.652,0.023973048840459792,7.360379031279969,1.1778208457049644,9.166574219496963,0.6282704409998433
ema_05,40414,0.669,0.024233502146050336,6.887681882090759,1.0880866343453355,9.063346822925654,0.5969492289521057
ema_05,43666,0.6859999999999999,0.023269175865392084,6.431999218080307,1.0147055268595877,8.693665412386828,0.5799744188931848
ema_05,47180,0.691,0.022297121252789927,6.04071492316831,0.9487615252703276,8.370828769832212,0.5534460080364942
ema_05,50976,0.7020000000000001,0.02201835781360819,5.71339806491974,0.886854921712442,8.08466865731496,0.5293937523757604
ema_05,55079,0.713,0.021679716349853405,5.422847017047064,0.8298822939286952,8.013580771178006,0.5043255697555027
ema_05,59511,0.7170000000000001,0.02151133128696069,5.142627897638888,0.7776329866841504,7.793640141670429,0.48117817341183633
ema_05,64300,0.7170000000000001,0.021511331286960686,4.906891607279514,0.7297173500448427,7.576276953139259,0.47498365965315414
ema_05,69474,0.723,0.02063903333418736,4.657026963884386,0.679197383649824,7.497147709257856,0.45671696249650473
ema_05,75065,0.726,0.02038121535615429,4.391058413824596,0.6322478588855321,7.307958612937971,0.43085644591606964
ema_05,81106,0.73,0.01987333628129648,4.1588758308941705,0.5834750709593315,7.178305885007663,0.4219678570360722
ema_05,87632,0.737,0.01941856864140115,3.937465411394163,0.5370314354298447,7.0759164298731045,0.4080197170776142
ema_05,94684,0.745,0.01898298014942689,3.704252749784033,0.49281389359148536,6.885402050738895,0.3863438319067406
ema_05,102304,0.757,0.019293323281185208,3.5455719944755066,0.46345291967878044,6.607864177239975,0.36586587980390034
ema_05,110537,0.768,0.0186882991535486,3.4018313344327846,0.4404931519734891,6.49272291273513,0.3439301669344093
ema_05,119432,0.774,0.019416747951449053,3.3042973282939783,0.4233286782837532,6.3653545795023865,0.3228537811947809
ema_05,129043,0.774,0.01878211055147096,3.2348084071487837,0.3998453416330138,6.264494097074296,0.3221814415979917
ema_05,139427,0.782,0.019559802110089425,3.159121838823067,0.36980120633609803,6.18013314275422,0.3149558757340326
ema_05,150647,0.779,0.01908487158018946,3.0881048894523895,0.3440906388488171,6.125632378042388,0.30008528111092286
ema_05,162770,0.773,0.018955290298569166,3.0043460888320004,0.3279655253716939,6.121433022491777,0.3027590829669226
ema_05,175868,0.782,0.019456244615687134,2.8836527151174733,0.30422384716232564,5.924250415829199,0.28696445026268536
ema_05,190021,0.7879999999999999,0.018328098426165,2.775364280398537,0.2851224962081269,5.845136225221231,0.2702604517353104
ema_05,205312,0.7979999999999999,0.018693703363821347,2.623222167957873,0.261795862518739,5.716769172046549,0.2673140628022509
ema_05,221834,0.809,0.01815171750785166,2.509324545909336,0.23361952010493478,5.5775318390842505,0.2534258954658029
ema_05,239685,0.812,0.016894204373516422,2.409328223516525,0.2126648551840781,5.395271444148545,0.2386502077094458
ema_05,258973,0.8140000000000001,0.01729249267833597,2.3432329618521375,0.1977458306303615,5.2937476283608405,0.229988186476387
ema_05,279813,0.8290000000000001,0.01701425427354512,2.2620179503683686,0.18746576736610965,5.166032922077785,0.21088142719123826
ema_05,302330,0.828,0.01614830259710527,2.192777480094129,0.17462032947021028,5.1293034400721,0.20208340338417372
ema_05,326660,0.838,0.016066779831111593,2.1553309654973147,0.1663229359027683,5.03465973913586,0.19195918394502726
ema_05,352947,0.843,0.01539086702816927,2.1097538590902722,0.16043432511199568,4.969197688487728,0.20205831930943222
ema_05,381349,0.8370000000000001,0.015285498508274589,2.091577048412929,0.15497842717526333,4.941589905759905,0.19680831520488998
ema_05,412037,0.838,0.01562049935181331,2.091373200597929,0.15146223290715602,4.960412695260291,0.19038413512523084
ema_05,445194,0.84,0.015439683882250907,2.0909928980900574,0.1435177065512103,4.91721067363536,0.17204955848112008
ema_05,481020,0.836,0.014179227942680981,2.0658999238553424,0.13659762741690812,4.905081492560152,0.16950020509494185
ema_05,519728,0.838,0.014268705603381112,2.0067477848382964,0.12683325693766784,4.85310729402794,0.17561561281687785
ema_05,561552,0.845,0.01336171222319032,1.9724532491779387,0.12031626344089372,4.808955540324292,0.1687076139664067
ema_05,606741,0.848,0.013519906759585245,1.9215751731994835,0.11698219368256653,4.788690173466453,0.1616327406013645
ema_05,655566,0.862,0.013087120663947715,1.8871969773049535,0.1133824945567925,4.696884665650892,0.16194053766529878
ema_05,708321,0.856,0.01305156827141606,1.8824970663711795,0.10909988339411883,4.671754724961029,0.16665159495918927
ema_05,765321,0.8590000000000001,0.013188225541341525,1.8320333470716728,0.10342070869831861,4.6308534025444015,0.1593404265058477
ema_05,826908,0.861,0.012940813207238814,1.7861376726099607,0.09787704105178587,4.592208518503116,0.1481640375164132
ema_05,893451,0.866,0.012966156412800679,1.7662812239418428,0.09331424881429061,4.622234919210624,0.14506057158893787
ema_05,965348,0.87,0.013142574813455418,1.706469417172157,0.09143230768506744,4.529883497818808,0.14906146227523484
ema_05,1043032,0.8690000000000001,0.012925192689496202,1.6850782064412437,0.09448575166600295,4.533137458865401,0.1497006940077833
ema_05,1126966,0.878,0.012274635093014647,1.6392392359542802,0.09076450778796992,4.482267923847495,0.15353946889743714
ema_05,1217656,0.883,0.011811225614010195,1.6050049870924983,0.08689005531663907,4.481708048652645,0.13854022512225272
ema_05,1315643,0.879,0.012656694639277632,1.593343337887843,0.09074436053813016,4.490777935427868,0.145230082341468
ema_05,1421515,0.887,0.01228080542220997,1.5794483622902644,0.08765969283930529,4.471982146342405,0.131322953274149
ema_05,1535907,0.8809999999999999,0.012284094997149362,1.5744347447772362,0.0836507415192279,4.510035805471599,0.12801175932702535
